POLO;recursos;alt_media;regiones;region_top;jerarquia_media;diametro_km;radio_km;desnivel_m
36;94;3307.627659574468;1;Cusco;2.25531914893617;70.13771057128906;20.22607121414803;759.0
37;27;29.85185185185185;1;Áncash;1.5555555555555556;70.6845932006836;22.05028224599518;243.0
38;31;3943.3225806451615;1;Puno;1.7096774193548387;73.86731719970703;24.019001684187213;301.0
39;7;493.14285714285717;2;Madre De Dios;2.0;71.5101547241211;25.654782863776905;282.0
40;17;2813.0;2;Arequipa;1.7058823529411764;56.58958435058594;17.13277123881669;1065.0
41;14;1884.7142857142858;2;Amazonas;1.7857142857142858;61.29985427856445;19.260330671266217;1029.0
42;23;2718.1739130434785;2;Cajamarca;1.7826086956521738;70.60997772216797;19.39724880042536;1085.0
43;37;4158.4324324324325;1;Áncash;1.9189189189189189;66.05421447753906;20.472251353676565;827.0
45;10;69.7;1;Loreto;1.7;72.85112762451172;30.50384864661867;12.0
46;48;3972.8333333333335;1;Puno;1.5625;55.827388763427734;16.133399503656396;981.0
47;13;323.2307692307692;1;San Martín;1.6923076923076923;59.297080993652344;19.01851502051279;294.0
48;15;698.2;3;Cusco;1.3333333333333333;60.98707580566406;15.822510862495674;580.0
49;5;85.2;1;Arequipa;1.4;59.92703628540039;22.361608866126367;381.0
50;33;1932.3636363636363;1;Huánuco;1.5454545454545454;62.111656188964844;16.620894531798662;730.0
51;11;1278.4545454545455;1;Piura;1.1818181818181819;62.6088752746582;22.76407900890846;522.0
52;24;3191.5;2;La Libertad;2.125;67.16146087646484;22.80727137805577;896.0
53;13;1979.6153846153845;1;Lima;1.6153846153846154;41.67259216308594;12.631154305344154;663.0
54;36;3715.0555555555557;1;Huancavelica;1.9722222222222223;50.45224380493164;15.925792495784549;1000.0
55;53;2349.622641509434;1;Arequipa;1.8867924528301887;36.97146987915039;9.17777091685956;1033.0
56;18;3366.5;1;Lima;1.8333333333333333;64.6469955444336;22.639748732779985;915.0
59;51;3611.294117647059;1;Cusco;2.411764705882353;48.90612030029297;14.997456451343306;796.0
60;25;178.4;1;Piura;1.36;68.88460540771484;20.41664462420216;528.0
61;12;161.08333333333334;1;Loreto;1.25;68.13328552246094;21.431557002008077;77.0
62;21;196.38095238095238;1;Madre De Dios;1.3333333333333333;65.0385513305664;16.790194771387274;87.0
63;15;3887.4666666666667;2;Áncash;1.9333333333333333;66.48324584960938;15.726924430845663;783.0
65;13;206.23076923076923;2;Huánuco;1.6153846153846154;57.51100158691406;19.65441436483679;193.0
66;11;363.54545454545456;1;Pasco;1.4545454545454546;58.980445861816406;17.45097272770531;446.0
67;8;1399.625;2;La Libertad;1.5;28.933197021484375;6.351489175301463;1055.0
68;26;712.7307692307693;1;Tacna;2.0;49.06917953491211;17.019313473931444;863.0
69;16;3573.5;1;La Libertad;2.0;40.25962829589844;10.515907876801236;1048.0
70;44;59.63636363636363;1;Lima;2.1363636363636362;67.0492172241211;14.53209388372923;604.0
71;42;3494.9523809523807;1;Arequipa;2.238095238095238;45.09519958496094;11.344646892974028;605.0
72;17;2671.3529411764707;1;Áncash;1.6470588235294117;55.913841247558594;14.234536274346524;681.0
73;5;4558.4;1;Huancavelica;1.8;56.99757385253906;18.71801399731317;382.0
74;8;699.5;2;Amazonas;1.75;52.701290130615234;21.36619291349278;806.0
75;18;3299.8888888888887;1;Arequipa;2.111111111111111;59.74799346923828;20.065172121810743;1012.0
77;8;4454.625;1;Junín;1.75;41.20794677734375;11.258646009346574;416.0
78;7;5165.0;3;Áncash;2.142857142857143;57.26106643676758;17.835093030358593;832.0
79;28;3157.3928571428573;1;Apurímac;1.5357142857142858;41.94084930419922;7.330753088272821;1155.0
82;11;340.27272727272725;1;Ucayali;1.1818181818181819;59.99635696411133;23.55023891365114;372.0
