CODIGO DEL RECURSO;NOMBRE DEL RECURSO;REGIÓN;latitud;longitud;ALTITUD;ZONA_CLIMATICA;CLUSTER;CLUSTER_KM
11749;Catarata De Shintuya;Madre De Dios;-12.39493;-71.15464;341.0;Tropical Húmedo (Selva);51;24
12804;Collpa De Guacamayos  Mascoitania;Madre De Dios;-12.474199;-71.233831;388.0;Tropical Húmedo (Selva);51;24
11203;Reserva Arena Blanca - Rioja;San Martín;-5.681295427838035;-77.63630390167236;1148.0;Templado Cálido (Yunga);54;21
12118;Sendero Quiscarrumi;San Martín;-6.1473353212996384;-76.84120173091016;846.0;Templado Cálido (Yunga);-1;1
11930;Meliponario Yantaló ;San Martín;-5.970410405386263;-77.02601924917795;821.0;Templado Cálido (Yunga);54;21
11875;La Encañada De Yorongos;San Martín;-6.217108957120629;-77.15926791068112;964.0;Templado Cálido (Yunga);54;21
11025;Bosque De Las Nuwas;San Martín;-5.749681714001;-77.38238233426;856.0;Templado Cálido (Yunga);54;21
14315;Mirador Del Río Tioyacu;San Martín;-5.99348221605;-77.28878960539;935.0;Templado Cálido (Yunga);54;21
10867;Templo Colonial San Pedro  De Paccaritambo;Cusco;-13.7567;-71.9564;3580.0;Frío (Suni);-1;23
11220;Cañón De Los Perdidos;Ica;-14.451606;-75.305056;608.0;Templado Cálido (Yunga);32;19
12908;Ventanillas De Bellavista;Cajamarca;-6.71611;-78.54556;2894.0;Templado Seco (Quechua);45;13
10799;Río Vilca - Sector Vilca;Huancavelica;-12.480733689617049;-75.18237233161928;3215.0;Templado Seco (Quechua);73;0
11551;Geoglifos De Bogotalla;Ica;-14.38127;-75.32673;1104.0;Templado Cálido (Yunga);-1;19
10680;Laguna Suyoc;Lima;-12.02329;-76.06882;4617.0;Muy Frío (Puna);48;8
10689;Mirador San Antonio ;Lima;-10.35734;-76.89757;4994.0;Glacial / Nieve (Janca);48;8
10684;Cascada Isco;Lima;-10.45816;-76.92137;4058.0;Muy Frío (Puna);48;8
10685;Cascada Escalón;Lima;-10.4491;-76.89669;4149.0;Muy Frío (Puna);48;8
10826;Baños Termales De Guñoc;Lima;-10.4198;-76.85791;4346.0;Muy Frío (Puna);48;8
10931;Museo Metropolitano De Lima;Lima;-12.063857012341058;-77.03669972779349;137.0;Cálido / Desértico (Costa);28;9
10688;Fundo Chocofinca;Cusco;-12.641092;-72.530529;982.0;Templado Cálido (Yunga);63;24
13083;Museo Municipal Del Teatro;Lima;-12.046431706976032;-77.03515251863328;153.0;Cálido / Desértico (Costa);28;9
10997;Playa El Amor;Piura;-4.09637;-81.05026;0.0;Cálido / Desértico (Costa);53;10
11094;Cascada Piscina De Los Reyes;San Martín;-6.236326;-77.169683;1054.0;Templado Cálido (Yunga);54;21
11416;Cascada Lluvia Perpetua;San Martín;-6.244743926019752;-77.16568355654947;1208.0;Templado Cálido (Yunga);54;21
10697;Casa Cuartel Jose Gabriel - Tupac Amaru Ii ;Cusco;-14.163856;-71.475703;3789.0;Frío (Suni);75;3
13157;Catarata Alccochaka;Puno;-13.38761;-70.33531;464.0;Cálido / Desértico (Costa);51;24
12894;Casa Fernandini;Lima;-12.045168450666306;-77.03511077542419;155.0;Cálido / Desértico (Costa);28;9
10943;Museo De Arqueología Josefina Ramos De Cox;Lima;-12.05276542986224;-77.03778968505635;143.0;Cálido / Desértico (Costa);28;9
11493;El Muelle Fiscal De Pisco;Ica;-13.709887;-76.21868;1.0;Cálido / Desértico (Costa);32;19
12910;Complejo Arqueológico De Churajón;Arequipa;-16.659455;-71.354506;3274.0;Templado Seco (Quechua);31;12
