POLO;recursos;jerarquia;lejania;region;regiones;saturacion;novedad;limpio;s;puntaje
233;25;1.24;25;JUNÍN;2;0.0;0.5442477876106194;True;0.41183059418457646;0.2352743362831858
208;55;1.6363636363636365;55;CUSCO;2;0.9454545454545454;0.13789219629927596;False;0.17834271922767503;0.2322767497988737
61;12;1.25;12;LORETO;1;0.0;0.5154867256637168;True;0.39298356510745885;0.22964601769911502
157;8;1.25;8;CAJAMARCA;1;0.0;0.5066371681415929;True;0.3867888748419721;0.22699115044247786
135;13;1.2307692307692308;13;LAMBAYEQUE;1;0.0;0.5176991150442478;True;0.39205971020130315;0.2245405037440436
181;14;1.2142857142857142;14;PUNO;1;0.0;0.5199115044247787;True;0.3914890735055084;0.22025916561314787
202;37;1.162162162162162;37;UCAYALI;1;0.0;0.5707964601769911;True;0.4204069429733146;0.21988758670174596
83;30;1.6666666666666667;30;CUSCO;1;1.0;0.05530973451327434;False;0.12443109987357778;0.2165929203539823
183;10;1.2;10;HUÁNUCO;1;0.0;0.5110619469026548;True;0.38345764854614406;0.2133185840707964
195;5;1.2;5;AREQUIPA;1;0.0;0.5;True;0.37571428571428567;0.20999999999999996
273;5;1.2;5;PUNO;1;0.0;0.5;True;0.37571428571428567;0.20999999999999996
82;11;1.1818181818181819;11;UCAYALI;1;0.0;0.5132743362831859;True;0.38266865877485345;0.20852775543041033
51;11;1.1818181818181819;11;PIURA;1;0.0;0.5132743362831859;True;0.38266865877485345;0.20852775543041033
170;11;1.1818181818181819;11;HUÁNUCO;1;0.0;0.5132743362831859;True;0.38266865877485345;0.20852775543041033
10;31;1.1290322580645162;31;AYACUCHO;2;0.0;0.5575221238938053;True;0.40685534847681576;0.20596631458749642
13;20;1.15;20;AYACUCHO;1;0.0;0.5331858407079646;True;0.3925158027812895;0.20495575221238932
168;9;1.6666666666666667;9;LIMA;1;1.0;0.008849557522123894;False;0.09190897597977246;0.20265486725663717
205;6;1.6666666666666667;6;LIMA;1;1.0;0.0022123893805309734;False;0.08726295828065743;0.20066371681415932
1;28;1.1071428571428572;28;PIURA;1;0.0;0.5508849557522124;True;0.3993949792306303;0.19740834386852088
162;7;1.1428571428571428;7;AREQUIPA;2;0.0;0.504424778761062;True;0.37146469207151883;0.19418457648546142
223;7;1.1428571428571428;7;APURÍMAC;1;0.0;0.504424778761062;True;0.37146469207151883;0.19418457648546142
53;13;1.6153846153846154;13;LIMA;1;1.0;0.017699115044247787;False;0.09151025965185258;0.18992511912865895
239;8;1.125;8;JUNÍN;1;0.0;0.5066371681415929;True;0.37071744627054354;0.18949115044247786
105;38;1.5526315789473684;38;LIMA;1;1.0;0.07300884955752213;False;0.12215882626921284;0.18769212855146714
48;15;1.3333333333333333;15;CUSCO;3;0.4666666666666667;0.2887905604719764;False;0.2450105351875263;0.18663716814159287
26;30;1.0666666666666667;30;MOQUEGUA;1;0.0;0.5553097345132744;True;0.3972882427307206;0.18659292035398228
253;10;1.1;10;AYACUCHO;1;0.0;0.5110619469026548;True;0.3706005056890012;0.18331858407079646
91;10;1.1;10;MADRE DE DIOS;1;0.0;0.5110619469026548;True;0.3706005056890012;0.18331858407079646
246;10;1.1;10;AREQUIPA;1;0.0;0.5110619469026548;True;0.3706005056890012;0.18331858407079646
194;10;1.1;10;AYACUCHO;1;0.0;0.5110619469026548;True;0.3706005056890012;0.18331858407079646
93;14;1.0714285714285714;14;AYACUCHO;1;0.0;0.5199115044247787;True;0.37312172656673287;0.17740202275600503
133;18;1.0555555555555556;18;CAJAMARCA;1;0.0;0.5287610619469026;True;0.377275600505689;0.17529498525073745
268;18;1.5555555555555556;18;LIMA;1;1.0;0.028761061946902654;False;0.0915613147914033;0.17529498525073745
138;17;1.5294117647058822;17;CUSCO;1;1.0;0.02654867256637168;False;0.08665129768721647;0.16678813118167618
164;16;1.0;16;AYACUCHO;2;0.0;0.5243362831858407;True;0.36703539823008846;0.1573008849557522
113;12;1.0;12;AREQUIPA;1;0.0;0.5154867256637168;True;0.3608407079646017;0.15464601769911504
90;11;1.0;11;HUÁNUCO;2;0.0;0.5132743362831859;True;0.35929203539823007;0.15398230088495576
171;10;1.0;10;AYACUCHO;2;0.0;0.5110619469026548;True;0.35774336283185837;0.15331858407079643
225;10;1.0;10;UCAYALI;1;0.0;0.5110619469026548;True;0.35774336283185837;0.15331858407079643
102;9;1.0;9;PUNO;1;0.0;0.5088495575221239;True;0.3561946902654867;0.15265486725663716
95;8;1.0;8;APURÍMAC;1;0.0;0.5066371681415929;True;0.35464601769911497;0.15199115044247785
152;8;1.375;8;CUSCO;2;0.75;0.13163716814159293;False;0.14036030341340075;0.15199115044247785
264;6;1.0;6;AYACUCHO;1;0.0;0.5022123893805309;True;0.3515486725663716;0.15066371681415927
185;5;1.0;5;AREQUIPA;2;0.0;0.5;True;0.35;0.15
251;5;1.0;5;ÁNCASH;1;0.0;0.5;True;0.35;0.15
235;18;1.3333333333333333;18;CUSCO;1;1.0;0.028761061946902654;False;0.0629898862199747;0.10862831858407077
110;16;1.0625;16;LIMA;2;0.875;0.0868362831858407;False;0.06882111251580278;0.04480088495575221
163;7;1.1428571428571428;7;CUSCO;1;1.0;0.004424778761061947;False;0.021464692071518868;0.044184576485461424
84;16;1.0;16;CUSCO;2;0.9375;0.055586283185840704;False;0.03891039823008849;0.016675884955752212
24;20;1.0;20;CUSCO;1;1.0;0.033185840707964605;False;0.023230088495575223;0.00995575221238938
